"Allow cancelation of fully shipped orders","Autoriser l'annulation des commandes expédiées en intégralité"
"Allow cancelation of partially shipped orders","Autoriser l'annulation des commandes partiellement expédiées"
"Allow cancelation of orders younger than...","Autoriser l'annulation des commandes de moins de..."
"Allows customers to cancel their orders from their account","Les clients peuvent annuler leurs commandes depuis l'espace client"
"Cancel Order","Annuler la commande"
"Customer Cancelation","Annulation par les clients"
"Enable cancelation by customer","Autoriser l'annulation par les clients"
"In days. Leave empty for no limit.","En jours. Laisser vide pour n'appliquer aucune limite."
"Email template is the one configured for Order Comments.","Le gabarit de mail est celui configuré pour les commentaires de commande."
"Send order update email","Envoyer un email au client"
"The order cannot be canceled.","La commande ne peut pas être annulée."
"The order has been canceled.","La commande a bien été annulée."
